Fred Durst;35;2;27;5;30;9;3;0;0;1070;1244;1500;1500;1500;1070;1244;1500;1500;1500;1500;1500
dustsucker;9;3;21;4;30;3;0;0;2;1500;1530;1500;1500;1500;1500;1530;1500;1500;1500;1500;1500
Desu?;46;13;153;16;80;22;2;12;5;1868;1717;1500;1500;1500;1868;1717;1500;1500;1500;1500;1500
Sonichu;2;0;0;0;0;0;0;0;0;1425;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Newfag;102;0;35;30;115;25;3;1;0;754;1185;1500;1500;1500;1036;1185;1500;1500;1500;1500;1500
retard';1;0;0;0;1;0;0;1;0;1502;1500;1500;1500;1500;1502;1500;1500;1500;1500;1500;1500
bum;6;0;9;1;6;1;0;0;1;1500;1446;1500;1500;1500;1500;1446;1500;1500;1500;1500;1500
Binter;25;0;0;20;18;2;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
MadDawg;7;0;5;1;5;1;0;0;0;1371;1455;1500;1500;1500;1371;1455;1500;1500;1500;1500;1500
Rolo;0;0;0;1;2;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
sad kart anon;77;9;42;30;90;17;5;11;2;1356;1265;1500;1500;1500;1356;1265;1500;1500;1500;1500;1500
Ace;19;0;26;6;38;2;1;0;0;1387;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Zhank;12;12;0;1;1;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
indigo;44;1;49;14;62;8;1;0;0;1474;1333;1500;1500;1500;1503;1333;1500;1500;1500;1500;1500
Ass Eater v1.3 v0.23;663;102;988;153;990;104;48;106;58;1661;1542;1637;1500;1448;1964;1572;1716;1500;1500;1461;1520
Soggem;22;3;51;10;52;8;1;5;2;1500;1611;1500;1500;1500;1500;1611;1500;1500;1500;1500;1500
Coombro;2091;106;4266;663;4771;741;370;132;167;1512;1672;1597;1500;1435;1842;1741;1628;1500;1529;1357;1515
DILATE;44;10;91;10;93;8;7;10;7;2010;1606;1500;1500;1500;2010;1606;1500;1500;1500;1500;1500
Georgio Floydius;4;1;0;0;0;1;0;1;0;1484;1500;1500;1500;1500;1484;1500;1500;1500;1500;1500;1500
MaybeNotLast;4520;500;10230;1571;9991;1703;603;447;478;1624;1768;1383;1500;1607;1922;1795;1421;1500;1694;1500;1500
Worst;149;1;240;50;298;62;17;4;3;1425;1590;1375;1500;1500;1425;1590;1375;1500;1500;1500;1500
Moist;20;0;65;8;47;12;3;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
r*trd;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Smack;16;2;2;2;10;3;0;0;2;1367;1500;1459;1500;1500;1500;1500;1500;1500;1500;1500;1500
Bun + Tree Deleter;22;0;70;14;83;8;8;2;2;1546;1500;1500;1500;1500;1546;1500;1500;1500;1500;1500;1500
iPenelope;25;0;57;6;75;14;4;0;0;1481;1510;1500;1500;1500;1481;1510;1500;1500;1500;1500;1500
Vegit;653;20;1158;219;1398;172;104;29;41;1617;1416;1358;1500;1288;1769;1481;1500;1500;1500;1500;1500
r*t*rdsgdfgs;68;3;54;17;70;47;8;15;17;1305;1488;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
